#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
284H,8,4/14/2024 13:04,12,25-Feb,729,832/2499,-0.5,301833,(4 sqrt 30)/5,8,29,1030301/2,1,1,0,1,0,1,1,1,1,1,0:01:06,0:03:52,0:06:07,0:12:30,0:15:54,0:21:00,0:35:56,0:38:21,0:49:24,0:43:32
294F,7,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,4,8,21,515151,1,1,1,1,1,1,0,1,0,0,0:04:38,0:02:49,0:27:53,0:11:47,0:14:17,0:25:29,0:45:08,0:29:43,0:49:24,0:47:21
303C,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,,4,29,16933.60763,1,1,1,1,1,1,,0,1,0,0:08:23,0:38:58,0:07:09,0:30:15,0:43:43,0:36:31,0:10:08,0:09:55,0:13:40,0:47:43
314E,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,,8,21,,1,1,1,1,1,1,,1,0,,0:01:49,0:05:30,0:11:19,0:19:50,0:22:15,0:27:20,0:48:04,0:33:42,0:48:06,
318B,7,4/14/2024 13:09,12,25-Feb,378,832/2499,2,301833,(12sqrt26)/13,4,,1030301/2,1,1,1,1,1,1,0,0,,1,0:02:56,0:23:10,0:05:46,0:24:02,0:24:11,0:24:28,0:44:45,0:29:31,,0:22:19
321C,7,4/14/2024 13:04,12,25-Feb,729,832/2499,2,301833,(12sqrt(5))/5,8,16,1030301/2,1,1,0,1,1,1,0,1,0,1,0:01:07,0:02:51,0:03:53,0:46:39,0:14:52,0:18:22,0:28:31,0:43:04,0:43:05,0:40:34
322E,8,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,(4sqrt30)/5,4,29,,1,1,1,1,1,1,1,0,1,,0:18:07,0:46:05,0:46:47,0:07:31,0:07:34,0:08:26,0:48:28,0:46:01,0:26:33,0:48:48
322G,7,4/14/2024 13:04,12,25-Feb,729,832/2499,2,301833,(4\sqrt{30})/5,8,64,10100,1,1,0,1,1,1,1,1,0,0,0:01:08,0:06:55,0:04:30,0:10:09,0:10:03,0:12:50,0:45:55,0:27:07,0:46:35,0:48:29
326A,7,4/14/2024 13:04,12,25-Feb,378,832/2499,pi/4,301833,4.5,8,,515150.5,1,1,1,1,0,1,0,1,,1,0:01:57,0:37:41,0:06:16,0:25:51,0:26:15,0:32:03,0:49:48,0:38:54,0:49:58,0:49:21
332B,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,4sqrt30/5,4,48,5000,1,1,1,1,1,1,1,0,0,0,0:06:53,0:08:59,0:11:58,0:17:57,0:39:15,0:41:29,0:28:57,0:24:18,0:47:59,0:48:52
343A,8,4/14/2024 13:04,12,25-Feb,378,832/2499,sqrt2,301833,4sqrt(30)/5,8,29,10404,1,1,1,1,0,1,1,1,1,0,0:39:20,0:03:06,0:08:36,0:09:09,0:21:23,0:35:25,0:30:32,0:36:37,0:45:08,0:48:00
343E,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,4,8,128,1,1,1,1,1,1,1,0,1,0,0,0:01:07,0:06:10,0:11:08,0:15:41,0:22:26,0:27:31,0:49:06,0:49:15,0:48:15,0:48:20
